City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
529,tezu,27.9167,96.1667,292.28,58,50,1.89,IN,1680017149
530,houma,29.5958,-90.7195,297.04,90,40,1.54,US,1680017149
531,vanderhoof,54.0166,-124.0198,264.95,95,82,0.93,CA,1680017149
532,coos bay,43.3665,-124.2179,278.14,95,100,6.69,US,1680017072
533,mastic beach,40.7668,-72.8521,279.56,93,100,3.09,US,1680017114
534,bontang,0.1333,117.5,299.25,84,100,2.08,ID,1680017150
535,shingu,33.7333,135.9833,281.81,69,1,2.93,JP,1680017150
536,jaca,42.569,-0.5499,290.36,32,77,1.83,ES,1680017150
537,yeniseysk,58.4497,92.1703,272.8,99,100,2.77,RU,1680017150
538,taonan,45.3333,122.7833,279.91,28,1,3.75,CN,1680017150
539,limoges,45.75,1.3333,288.46,33,0,5.14,FR,1680017063
540,gazanjyk,39.2446,55.5154,291.26,45,17,6.9,TM,1680017151
541,pitimbu,-7.4706,-34.8086,304.48,65,10,4.59,BR,1680017151
542,aksu,41.1231,80.2644,289.23,14,0,2.19,CN,1680017151
543,santa isabel do rio negro,-0.4139,-65.0192,305.29,54,86,0.6,BR,1680017151
544,luwuk,-0.9516,122.7875,298.36,89,100,1.64,ID,1680017151
545,abalak,58.1286,68.5944,281.45,86,96,5.05,RU,1680017151
546,alamosa,37.4695,-105.87,265.14,45,0,0.0,US,1680017151
547,sept-iles,50.2001,-66.3821,275.96,81,100,2.24,CA,1680017151
548,dubbo,-32.25,148.6167,292.22,88,75,3.09,AU,1680017151
549,saint-augustin,51.226,-58.6502,275.58,65,100,4.11,CA,1680017152
550,vestmanna,62.1564,-7.1664,276.66,60,75,7.2,FO,1680017152
551,krasnoturansk,54.3186,91.5639,274.76,90,93,1.48,RU,1680017152
552,moron,-34.6534,-58.6198,301.37,50,1,3.61,AR,1680017152
553,marsa matruh,31.3525,27.2453,291.59,65,0,7.22,EG,1680017152
554,la palma,33.8464,-118.0467,290.32,49,20,2.06,US,1680017152
555,vila franca do campo,37.7167,-25.4333,290.38,86,99,11.59,PT,1680017152
556,waipawa,-41.4122,175.5153,280.26,72,100,7.03,NZ,1680017152
557,northam,51.0333,-4.2167,286.07,97,100,6.87,GB,1680017152
558,dabat,12.9842,37.765,293.87,22,11,5.59,ET,1680017153
559,vung tau,10.346,107.0843,300.11,84,77,8.49,VN,1680017078
560,florence,43.7667,11.25,290.78,21,0,2.24,IT,1680016753
561,gandu,-13.7439,-39.4867,304.89,43,62,1.91,BR,1680017153
562,mezhdurechensk,53.6942,88.0603,274.69,98,100,1.22,RU,1680017153
563,malanje,-9.5402,16.341,297.84,72,95,1.96,AO,1680017153
